"Basel Annex VIII, II or IX ",Y Code,National Code,"
Type of waste ","
Hazardous characteristics","Amount exported 
 (use dots for decimals, e.g. 20.15)","
Countries of  transit",Country of destination,"
Final disposal operation",Recovery operation,Exporting_Country
A4010,"Y2,Y3","16 03 05*, 18 01 08*, 18 01 06*, 18 01 09*","out of specifications or expired pharmaceuticals (EWC 07 05 13*, 16 03 03*, 16 03 05*, 18 01 06*, 18 01 08*, 20 01 31*, 20 01 32*, 18 01 09*, 18 02 05*, 18 02 07*, 18 02 08*)","H12,H6.1",86.194,"TR,PT,FR,GB,NL,IL,IT,ES,DE",DK,D10,,Greece
A4010,Y3,20 01 31*,wastes from pharmaceutical industries and distributors (EWC 20 01 31*),H6.1,0.656,"PT,GB,NL,TR,BE,FR,ES,IT",DE,D10,,Greece
A4010,Y3,"07 05 01*, 07 05 11*, 07 05 13*, 20 01 31*, 20 01 32","wastes from pharmaceutical industries and expired mediced (EWC 07 05 01*, 07 05 11*, 07 05 13*, 20 01 31*, 20 01 32)","H6.1,H11,H13",30.278,"PT,GB,NL,TR,BE,FR,ES,IT",DE,D10,,Greece
A4010,Y3,"07 05 01*, 07 05 11*, 07 05 13*, 20 01 31*, 20 01 32","wastes from pharmaceutical industries and expired mediced (EWC 07 05 01*, 07 05 11*, 07 05 13*, 20 01 31*, 20 01 32)","H6.1,H11,H13",12.52,"PT,GB,NL,TR,BE,FR,ES,IT",DE,D10,,Greece
A4030,Y4,"02 01 08*, 07 04 01*, 07 04 04*, 07 04 10*, 07 04 11*, 07 04 13*, 20 01 19*","expired pesticides/agrochemicals and liquid and solid wastes contianing dangerous substances from the MFS of organic plant protection products and other biocides (EWC 02 01 08*, 07 04 01*, 07 04 04*, 07 04 10*, 07 04 11*, 07 04 13*, 20 01 19*) ","H6.1,H11,H3",75.526,"PT,GB,NL,TR,BE,FR",DE,D10,,Greece
A4030,Y4,"02 01 08*, 07 04 01*, 07 04 04*, 07 04 10*, 07 04 11*, 07 04 13*, 20 01 19*","expired pesticides/agrochemicals and liquid and solid wastes contianing dangerous substances from the MFS of organic plant protection products and other biocides (EWC 02 01 08*, 07 04 01*, 07 04 04*, 07 04 10*, 07 04 11*, 07 04 13*, 20 01 19*) ","H6.1,H11,H3",90.065,"PT,GB,NL,TR,BE,FR",DE,D10,,Greece
A4030,Y4,"02 01 08*, 20 01 19*",expired pesticides (EWC 02 01 08*),,0.975,"TR,IT,ES,PT,FR,NL,BE,GB",DE,D10,,Greece
A4030,Y4,02 01 08*,"pesticides, insesticides and chemicals (EWC 02 01 08*, 07 04 03*, 07 04 04*, 07 04 10*, 07 04 11*, 07 04 13*, 07 05 13*, 20 01 19*)","H12,H3,H6.1",28.297,"GB,TR,DE,NL,BE,LT,LV,PT,FR,IT,NO,DK,ES,IL",SE,D10,,Greece
A4060,Y9,16 07 08*,wastes containing oil (EWC 16 07 08*),"H3,H4.1,H6.1,H12",209.84,"GR,PT,GB,NL,BE,FR",ES,D9,,Greece
A4060,Y9,16 07 08*,wastes containing oil (EWC 16 07 08*),H12,807.9,,BG,,R9,Greece
A4060,Y9,16 07 08*,wastes containing oil (EWC 160708*),H12,424.48,,BG,,"R13,R12,R9",Greece
A4070,Y12,08 03 12*,waste ink containing dangerous substances (EWC 08 03 12*),"H3,H4.1,H6.1,H11,H12",35.46,"GR,PT,GB,NL,BE,FR",ES,D9,,Greece
A4070,Y12,08 01 11*,waste paint and varnish containing organic solvents or other hazardous substances (EWC 08 01 11*),H3,171.996,IL,FR,,R1,Greece
A4070,Y12,08 01 13*,waste paint and varnish containing organic solvents or other hazardous substances (EWC 08 01 13*),H3,82.2,IL,FR,,R1,Greece
A4070,Y12,08 03 12*,waste ink containing hazardous substances (EWC 08 03 12*),H3,68.23,IL,FR,D10,,Greece
A4070,Y12,"08 01 11*, 08 01 13*, 08 01 15*, 08 01 17*, 20 01 27*","wastes from production and use of paints and varnishes (EWC 08 01 11*, 08 01 13*, 08 01 15*, 08 01 17*) ","H3,H12",67.182,"PT,GB,NL,TR,BE,FR",DE,D10,,Greece
A4070,Y12,"08 01 11*, 08 01 13*, 08 01 15*, 08 01 17*, 20 01 27*","wastes from production and use of paints and varnishes (EWC 08 01 11*, 08 01 13*, 08 01 15*, 08 01 17*) ","H3,H12",184.364,"PT,GB,NL,TR,BE,FR",DE,D10,,Greece
A4070,Y12,"08 03 12*, 08 03 17*","wastes from the use of inks in printing industry (EWC 08 03 12*, 08 03 17*)","H3,H12",9.124,"PT,GB,NL,TR,BE,FR,ES,IT",DE,D10,,Greece
A4070,Y12,"08 03 12*, 08 03 17*","wastes from the use of inks in printing industry (EWC 08 03 12*, 08 03 17*)","H3,H12",4.448,"PT,GB,NL,TR,BE,FR,ES,IT",DE,D10,,Greece
A4070,Y12,"04 02 16*, 08 01 11*, 08 01 13*, 08 01 15*, 08 01 17*, 08 01 19*, 08 01 21*, 08 03 12*, 08 03 14*, 08 0317*, 08 05 01*, 20 01 27*","wastes from the production, formulation and use of inks, dyes, pigments, paints, lacquers, varnish (EWC 08 01 11*, 08 01 13*, 08 01 17*, 08 01 19*, 08 03 12*)",,63.18,"TR,IT,ES,PT,FR,NL,BE,GB",DE,D10,,Greece
A4070,Y12,"08 04 09*, 08 01 11*","solidified paints (EWC 08 01 11*, 08 04 09*, 08 04 11*)","H4.1,H12",9.42,"TR,GB,DE,BE,CY,IL,ES,PT,IT,FR",NL,,R1,Greece
A4070,Y12,"07 01 04*, 08 01 11*, 08 03 12*, 08 03 14*, 08 04 09*, 16 05 08*","non- halogonated solvents (EWC 07 01 04*, 07 07 04*, 08 01 11*, 0 01 13*, 08 03 12*, 08 03 14*, 08 04 09*, 14 06 03*, 16 05 08*)","H3,H6.1",50.681,"TR,GB,DE,CY,IL,ES,PT,IT,FR",NL,,"R12,R1",Greece
A4070,Y12,15 02 02*,absorbent and filtered materials contaminated by dangerous substances (EWC 15 02 02*),H12,5.26,"TR,GB,NL,BE,LT,FR,ES,IL",PT,D9,,Greece
A4070,Y12,15 02 02*,absorbing materials contaminated by dangerous substances (EWC 15 02 02*),H12,8.92,"GB,TR,DE,NL,BE,LT,LV,PT,FR,IT,NO,DK,ES,IL",SE,,R1,Greece
A4090,"Y17,Y34","06 01 06*, 16 03 03*","acidic solutions (EWC 11 01 05*, 11 01 06*, 16 03 03*, 16 05 06*, 16 05 07*, 16 10 01*, 06 01 01*, 06 01 02*, 06 01 03*, 06 01 04*, 06 01 05*, 06 01 06*, 20 01 14*, 16 06 06*)","H8,H6.1",40.84,"TR,GB,NL,BE,IT,FR,ES",PT,D9,,Greece
A4090,Y2,07 01 04*,wastes from basic organic substances manufacture (EWC 07 01 04*),"H3,H6.1,H8,H11,H13",18.347,"PT,GB,NL,TR,BE,FR",DE,D10,,Greece
A4100,Y18,19 02 05*,sludges from physico/chemical treatment containing hazardous substances (EWC 19 02 05*),H12,39.043,"TR,IT,EG",ES,D9,,Greece
A4100,Y18,19 01 13*,fly ashes (EWC 19 01 13*),H12,381.414,"TR,FR,IT",ES,D9,,Greece
A4100,Y18,19 01 13*,fly ashes (EWC 19 01 13*),H12,39.836,"TR,GB,NL,BE,IT,FR,ES",PT ,"D9,D1",,Greece
A4100,Y23,10 02 07*,solid waste from gas treatment containing hazardous substances (EWC 10 02 07*),H12,5500.05,NL,DE,,R4,Greece
A4100,Y23,10 02 07*,solid waste from gas treatment containing hazardous substances (EWC 10 02 07*),H12,1529.27,,IT,,R4,Greece
A4100,Y23,10 02 07*,solid waste from gas treatment containing hazardous substances (EWC 10 02 07*),H12,4093.14,NL,FR,,R4,Greece
A4100,Y23,10 02 07*,solid waste from gas treatment containing hazardous substances (EWC 10 02 07*),H12,25121.23,,IT,,R13,Greece
A4100,Y23,10 02 07*,solid waste from gas treatment containing hazardous substances (EWC 10 02 07*),H12,3522.128,NL,FR,,R4,Greece
A4100,Y23,10 02 07*,steel mill dust ( EWC 10 02 07*),H12,5089.9,,IT,,R4,Greece
A4130,Y12,15 01 10*,packaging containing residues of or contaminated by hazardous substances (EWC 15 01 10*),H12,30.0,IT,ES,,R3,Greece
A4130,Y12,15 01 10*,waste packaging containing residues of or contaminated by dangerous substances (EWC 15 01 10*),H12,19.616,"GB,TR,IT,BE,ES,FR,NL,DE",PT,,R4,Greece
A4130,"Y12,Y13,Y31,Y4",15 01 10*,packaging materials contaminated with dangerous substances (EWC 15 01 10*) ,"H5.2,H13",19.174,"PT,GB,NL,TR,BE,FR,ES,IT",DE,D10,,Greece
A4130,"Y12,Y13,Y31,Y4",15 01 10*,packaging materials contaminated with dangerous substances (EWC 15 01 10*) ,"H5.2,H13",40.632,"PT,GB,NL,TR,BE,FR,ES,IT",DE,D10,,Greece
A4130,,15 01 10*,packaging containing residues of or contaminated by hazardous substances (EWC 15 01 10*),H12,20.86,"GR,BG,RO,HU,SK",PL,,R1,Greece
A4130,,15 01 10*, packaging containing residues of or contaminated by dangerous substances (EWC 15 01 10*),H12,18.79,"GR,BG,RO,HU,SK",PL,,R1,Greece
A4130,,15 01 10*,packaging containing residues of or contaminated with dangerous substances (EWC 15 01 10*),"H4.1,H6.1,H8,H11,H12",51.301,"TR,IT,ES,PT,FR,NL,BE,GB",DE,D10,,Greece
A4130,,16 05 04*,gases in pressure containers (excluding halons) containing dangerous substances (EWC 16 05 04*) ,,7.624,"BG,RO,HU,SK,CZ",DE,D10,,Greece
A4140,Y12,"16 03 03*, 16 03 05*","off specification batches and unused products containing dangerous substances (EWC 16 03 03*, 16 03 05*) ","H3,H6.1,H8,H12",83.449,"PT,GB,NL,TR,BE,FR,IT,ES",DE,D10,,Greece
A4140,Y12,"16 03 03*, 16 03 05*","off specification batches and unused products containing dangerous substances (EWC 16 03 03*, 16 03 05*) ","H3,H6.1,H8,H12",71.111,"PT,GB,NL,TR,BE,FR,IT,ES",DE,D10,,Greece
A4140,"Y12,Y14","16 05 08*, 16 05 06*, 16 05 07*","laboratory waste & various chemicals (EWC 06 03 13*, 07 03 04*, 08 04 09*, 11 01 06*, 11 03 01*, 16 03 03*, 16 03 05*, 16 05 06*, 16 05 07*, 16 05 08*, 18 01 06*)","H3,H6.1,H8,H12",30.217,"TR,PT,FR,GB,NL,IL,IT,ES,DE",BE,D10,,Greece
A4140,Y18,16 03 03*,inorganic wastes containing hazardous substances (EWC 16 03 03*),H12,15.145,IT,ES,D9,,Greece
A4140,"Y2,Y14","16 03 03*, 16 05 06*, 16 05 07*, 16 05 08*","laboratory waste & various chemicals (EWC 06 03 13*, 07 03 04*, 08 04 09*, 11 01 06*, 11 03 01*, 16 03 03*, 16 03 05*, 16 05 06*, 16 05 07*, 16 05 08*, 18 01 06*)","H6.1,H12,H3,H8",148.952,"TR,PT,FR,GB,NL,BE,DE,LT,LV,SE",DK,D10,,Greece
A4140,"Y2,Y3",16 03 05*,off specification and/or out of date or expired products and/or raw materials (EWC 16 03 05*),H12,48.914,"BG,RO",HU,,R1,Greece
A4140,"Y2,Y3",16 03 05*,off specification and/or out of date or expired products and/or raw materials (EWC 16 03 05*),H12,34.169,"BG,RO",HU,,R1,Greece
A4140,"Y2,Y3",16 03 05*,organic wastes containing hazardous substances (EWC 16 03 05*),H3,276.365,IL,FR,,R1,Greece
A4140,"Y2,Y3",16 03 05*,organic wastes containing hazardous substances (EWC 16 03 05*),H3,101.712,"BG,RO,HU,SK,CZ",DE,D10,,Greece
A4140,"Y2,Y3",16 03 05*,organic wastes containing hazardous substances (EWC 16 03 05*),H3,101.18,"BG,RO,HU,SK,CZ",DE,D10,,Greece
A4140,"Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y30,Y31,Y32,Y33,Y34,Y35",16 05 07*,"off-specification, outdated and discarded inorganic solid waste (EWC 16 05 07*)","H4.1,H4.2,H4.3,H6.1,H8,H12,H13",8.329,"TR,IT,ES,PT,FR,NL,BE,GB",DE,D10,,Greece
A4140,"Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y30,Y31,Y32,Y33,Y34,Y35",16 05 07*,"off-specification, outdated and discarded inorganic chemicals (EWC 16 05 07*)","H4.1,H4.2,H4.3,H6.1,H8,H12,H12",6.899,"TR,IT,ES,PT,FR,NL,BE,GB",DE,D10,,Greece
A4140,Y3,16 05 06*,"laboratory chemicals, consisting of or containing hazardous substances, including mixtures of laboratory chemicals (EWC 16 05 06*)",H3,3.438,"BG,RO,HU,SK,CZ",DE,D10,,Greece
A4140,"Y3,Y2","16 03 05*, 16 05 06*","off specification and/or out of date or expired products/medicines/raw materials/chemicals/laboratory residues (waste) (EWC 16 03 05*, 16 05 06*)","H12,H3",17.012,"PT,GB,DE,NL,BE,TR,FR,IT",DK,D10,,Greece
A4140,"Y3,Y2","16 03 05*, 16 05 06*, 16 05 07*, 16 05 08*","off specification and/or out of date or expired products/medicines/raw materials/chemicals/laboratory residues (waste) (EWC 16 03 05*, 16 05 07*, 16 05 08*, 16 05 06*)","H12,H3,H8",244.862,"PT,GB,DE,NL,BE,TR,FR,IT",DK,D10,,Greece
A4140,"Y34,Y35,Y39,Y40,Y41,Y42","16 05 06*, 16 05 07*, 16 05 08*","discarded chemicals (including lab smalls) containing dangerous substances (EWC 16 05 06*, 16 05 07*, 16 05 08*) ","H3,H4.1,H6.1,H8,H12",173.996,"PT,GB,NL,TR,BE,FR,ES,IT",DE,D10,,Greece
A4140,"Y34,Y35,Y39,Y40,Y41,Y42","16 05 06*, 16 05 07*, 16 05 08*","discarded chemicals (including lab smalls) containing dangerous substances (EWC 16 05 06*, 16 05 07*, 16 05 08*) ","H3,H4.1,H6.1,H8,H12",110.698,"PT,GB,NL,TR,BE,FR,ES,IT",DE,D10,,Greece
A4140,"Y34,Y35,Y37,Y38,Y39","16 03 05*, 16 05 08*","off-specification, outdated and discarded organic chemicals (EWC 16 03 05*, 16 05 08*)","H3,H4.1,H6.1,H8,H11,H12",12.705,"TR,IT,ES,PT,FR,NL,BE,GB",DE,D10,,Greece
A4140,,16 05 08*,unused partly or completely polymerized styrene monomer mixed with water (EWC 16 05 08*),"H3,H4.1,H11,H12",49.925,"TR,IT,PT,GB,NL,BE,FR",ES,D9,,Greece
A4150,Y14,07 05 11*,waste from physicochemical treatment of lab waste (EWC 07 05 11*),"H11,H12",8.441,"TR,IT,ES,PT,FR,NL,BE,GB",DE,D10,,Greece
A4150,"Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y30,Y31,Y32,Y33,Y34,Y35,Y37,Y38,Y39,Y40,Y41,Y42",16 05 06*,laboratory waste (EWC 16 05 06*),"H3,H4.1,H4.2,H4.3,H6.1,H8,H11,H12",2.334,"TR,IT,ES,PT,FR,NL,BE,GB",DE,D10,,Greece
,Y12,16 01 07*,waste oil filters (EWC 16 01 07*),H12,16.225,"GB,TR,IT,BE,ES,PT,FR,NL",DE,,R4,Greece
,Y16,"09 01 01*, 09 01 02*, 09 01 05*, 09 01 13*","wastes from photographic industry (EWC 09 01 01*, 09 01 02*, 09 01 05*, 09 01 13*)","H8,H12",59.511,"PT,GB,NL,TR,BE,FR,ES,IT",DE,D10,,Greece
,Y16,"09 01 01*, 09 01 02*, 09 01 05*, 09 01 13*","wastes from photographic industry (EWC 09 01 01*, 09 01 02*, 09 01 05*, 09 01 13*)","H8,H12",3.768,"PT,GB,NL,TR,BE,FR,ES,IT",DE,D10,,Greece
,Y17,"11 01 08*, 11 01 09*, 11 01 98*","wastes from chemical surface treatment and coating of metals-sludge and filter cakes containing dangerous substances ( EWC 11 01 08*, 11 01 09*, 11 01 98*)","H12,H13",3.745,"PT,GB,NL,TR,FR",BE,,"R12,R5",Greece
,Y18,"19 02 05*, 19 02 11*","sludge from physic-chemical treatment containing dangerous substances (EWC 19 02 05*, 19 02 11*) ","H12,H13",13.059,"PT,GB,NL,TR,FR,ES,IT",BE,,"R12,R5",Greece
,Y18,"19 02 05*, 19 02 11*","sludge from physic-chemical treatment containing dangerous substances (EWC 19 02 05*, 19 02 11*) ","H12,H13",22.65,"PT,GB,NL,TR,FR,ES,IT",BE,,"R12,R5",Greece
,Y18,"19 02 05*, 19 02 11*","sludge from physic-chemical treatment containing dangerous substances (EWC 19 02 05*, 19 02 11*) ","H12,H13",15.421,"PT,GB,NL,TR,FR,ES,IT",BE,,"R12,R5",Greece
,Y18,"19 02 05*, 19 02 11*","sludge from physic-chemical treatment containing dangerous substances (EWC 19 02 05*, 19 02 11*) ","H12,H13",6.66,"PT,GB,NL,TR,FR,ES,IT",BE,,"R12,R5",Greece
,Y18,"19 02 05*, 19 02 11*","wastes from physico-chemical treatment contianing dangerous substances (EWC 19 02 05*, 19 02 11*) ","H12,H13",20.557,"PT,GB,NL,TR,BE,FR,ES,IT",DE,D10,,Greece
,"Y34,Y35",16 10 01*,"wastewater from cleaning of metals and metal parts, destined for off-site treatment (EWC 16 10 01*)","H8,H13",19.935,"PT,GB,NL,TR,FR",BE,,R12,Greece
,Y36,17 06 05*,construction and insulation materials containing asbestos (asbestos cement materials) (EWC 17 06 05*) ,,186.32,"PT,GB,NL,TR,BE,FR,ES,IT",DE,D1,,Greece
,Y45,14 06 01*,"chlorofluorocarbons, HCFC, HFC (EWC 14 06 01*)",H12,45.3,"TR,IL,IT,ES",GB,D10,,Greece
,Y8,15 02 02*,"absorbents, filter materials (including oil filters not otherwise specified), wiping cloths, protective clothing contaminated by hazardous substances (EWC 15 02 02*)",H12,100.6,IT,ES,D9,,Greece
,Y8,15 02 02*,"absorbents, filter materials (including oil filters not otherwise specified), wiping cloths, protective clothing contaminated by hazardous substances (EWC 15 02 02*)",H12,188.07,IT,ES,D9,,Greece
,Y8,15 02 02*,"absorbents, filter materials (including oil filters not otherwise specified), wiping cloths, protective clothing contaminated by hazardous substances (EWC 15 02 02*)",H12,34.64,IT,ES,,R3,Greece
,Y8,15 02 02*,"absorbents, filter materials (including oil filters not otherwise specified), wiping cloths, protective clothing contaminated by hazardous substances (EWC 15 02 02*)",H12,22.51,"BG,RO,HU,SK,CZ,DE",DK,D10,,Greece
,"Y9,Y16",15 02 02*,"absorbents, filters, wiping cloths and protective cloths contaminated by dangerous substances (EWC 15 02 02*) ","H4.1,H13",45.777,"PT,GB,NL,TR,BE,FR",DE,D10,,Greece
,"Y9,Y16",15 02 02*,"absorbents, filters, wiping cloths and protective cloths contaminated by dangerous substances (EWC 15 02 02*) ","H4.1,H13",46.593,"PT,GB,NL,TR,BE,FR",DE,D10,,Greece
,"Y9,Y12",15 02 02*,"absorbents, filter materials (including oil filters not otherwise specified), wiping cloths, protective clothing contaminated by hazardous substances (EWC 15 02 02*)","H4.1,H12",52.52,"GR,IL",FR,,"R12,R1",Greece
,,"19 08 09*, 19 08 10*, 19 08 11*, 19 08 13* ",waste from wastewater treatment facilities (EWC 19 08 10*),"H12,H13",9.106,"PT,GB,NL,TR,BE,FR,ES,IT",DE,D10,,Greece
,,16 10 01*,liquid aqueous wastes contaminated with organic matter destined for off-site treatment (EWC 16 10 01*),H13,2.066,"PT,GB,NL,TR,BE,FR,ES,IT",DE,D10,,Greece
,,12 01 12*,mineral or synthetic grease waste (EWC 12 01 12*),"H11,H12",6.457,"TR,IT,ES,PT,FR,NL,BE,GB",DE,D10,,Greece
,,"15 02 02*, 16 01 07*","oil absorbing materials, oil & diesel filters, ventilation filters, wipping clothes, protective clothing (EWC 15 02 02*, 16 01 07*)","H4.1,H8,H12",74.141,"TR,IT,ES,PT,FR,NL,BE,GB",DE,D10,,Greece
,,16 01 13*,"brake fluids produced from end-of-life car recycling centers, workshops, during common repair works, car services etc. (EWC 16 01 13*)",H12,1.24,"TR,IT,ES,PT,FR,NL,BE,GB",DE,D10,,Greece
,,"16 01 14*, 16 05 08*","antifreeze liquids produced from various operations (EWC 16 01 14*, 16 05 08*)",H12,16.354,"TR,IT,ES,PT,FR,NL,BE,GB",DE,D10,,Greece
,,16 01 04*,end - of - life ship (ΕWC 16 01 04*),"H12,H13",58515.0,,TR,,"R12,R13,R4",Greece
,"Y31,Y34",8548101000,Baterías acido plomo usadas,"H8,H11",29.0,,KP,D14,R4,Guatemala
A1160,Y31,,Used Lead Acid Batteries,H8,316.0,,KR,,R4,Guyana
A1020,Y31,06 04 05 *,wastes containing other heavy metals,H6.1,2.792,SK,PL,,R4,Hungary
A3160,Y18,07 01 07 *,halogenated still bottoms and reaction residues,"H3,H6.1,H11,H12",15.74,"AT,DE",FR,D10,,Hungary
A4070,Y12,08 01 11 *,waste paint and varnish containing organic solvents or other hazardous substances,H4.1,2.35,"AT,DE",NL,,R4,Hungary
A4100,Y23,10 02 07 *,solid wastes from gas treatment containing hazardous substances,H13,3800.08,SK,PL,,R4,Hungary
,Y18,10 03 08 *,salt slags from secondary production,,183.7,"SK,CZ",DE,,R5,Hungary
,Y45,10 03 08 *,salt slags from secondary production,,3335.52,"SK,CZ",DE,,R5,Hungary
A1010,Y31,10 04 01 *; 16 03 03 *,slags from primary and secondary production; inorganic wastes containing hazardous substances,H12,0.302,"SI,IT,FR",ES,,R4,Hungary
A1010,Y31,10 04 02 *,dross and skimmings from primary and secondary production,H13,18.6,"SI,IT,FR",ES,,"R13,R4",Hungary
A1020,Y31,10 04 02 *,dross and skimmings from primary and secondary production,H6.1,6.431,SK,PL,,R4,Hungary
A1010,Y31,10 04 02 *,dross and skimmings from primary and secondary production,H12,17.601,"AT,DE,NL,BE",US,,R4,Hungary
A1060,"Y17,Y34",11 01 05 *,pickling acids,H8,635.9,,AT,,R4,Hungary
A1060,"Y17,Y34",11 01 05 *,pickling acids,H8,245.92,SK,CZ,,R4,Hungary
A1050,Y17,11 01 09 *,sludges and filter cakes containing hazardous substances,"H11,H12",65.075,"SK,CZ",DE,,R4,Hungary
,Y17,12 01 04 *,nonferrous metal dust and particles,H12,41.118,,AT,,R4,Hungary
A3020,Y8,13 01 10 *; 13 01 11 *; 13 01 13 *; 13 02 05 *; 13 02 06 *; 13 02 08 *; 13 03 07 *; 13 03 10 *,"mineral based nonchlorinated hydraulic oils; synthetic hydraulic oils; other hydraulic oils; mineralbased nonchlorinated engine, gear and lubricating oils; synthetic engine, gear and lubricating oils; readily biodegradable engine, gear and lubricating oils; other engine, gear and lubricating oils; mineralbased nonchlorinated insulating and heat transmission oils; other insulating and heat transmission oils",,103.2,RO,BG,,R9,Hungary
A4070,,15 01 10 *,packaging containing residues of or contaminated by hazardous substances,H13,0.314,AT,DE,,R4,Hungary
,,16 01 04 *,end-of-life vehicles,H12,65.52,AT,DE,,"R12,R4,R5",Hungary
A1170,,16 01 21 *,hazardous components other than those mentioned in 16 01 07 to 16 01 11 and 16 01 13 and 16 01 14,H4.1,2.4,AT,DE,,R4,Hungary
A2010,Y31,16 02 15 *,hazardous components removed from discarded equipment,H12,1235.34,"AT,CZ",DE,,R5,Hungary
A1160,Y31,16 06 01 *,lead batteries,H8,263.18,,AT,,R4,Hungary
A1160,"Y31,Y34",16 06 01 *,lead batteries,"H8,H11",51.2,,AT,,R4,Hungary
A1160,"Y31,Y34",16 06 01 *,lead batteries,"H8,H12",99.02,,AT,,R4,Hungary
A1160,"Y31,Y34",16 06 01 *,lead batteries,H8,286.6,,AT,,R4,Hungary
A1160,"Y31,Y34",16 06 01 *,lead batteries,"H8,H11",186.174,,AT,,"R4,R6",Hungary
A1160,"Y31,Y34",16 06 01 *,lead batteries,"H8,H11,H12",2344.86,RO,BG,,R4,Hungary
A1160,"Y31,Y34",16 06 01 *,lead batteries,H8,483.726,RO,BG,,"R4,R5,R12",Hungary
A1160,"Y31,Y34",16 06 01 *,lead batteries,H8,285.24,SK,CZ,,R4,Hungary
A1160,"Y31,Y34",16 06 01 *,lead batteries,"H8,H12",189.58,SK,CZ,,R4,Hungary
A1160,Y31,16 06 01 *,lead batteries,H8,121.84,,RO,,R4,Hungary
A1160,"Y31,Y34",16 06 01 *,lead batteries,H8,198.58,,RO,,R4,Hungary
A1160,"Y31,Y34",16 06 01 *,lead batteries,"H8,H12",4433.74,,RO,,R4,Hungary
A1160,"Y31,Y34",16 06 01 *,lead batteries,"H6.1,H8,H11,H12",264.225,,RO,,"R4,R6",Hungary
A1160,"Y31,Y34",16 06 01 *,lead batteries,"H6.1,H8",47.398,,SI,,R4,Hungary
A1160,"Y31,Y34",16 06 01 *,lead batteries,"H6.1,H8,H11,H12",889.949,,SI,,R4,Hungary
A1160,"Y31,Y34",16 06 01 *,lead batteries,"H8,H12",190.46,,SI,,R4,Hungary
A2030,"Y21,Y22,Y26",16 08 02 *,spent catalysts containing hazardous transition metals or hazardous transition metal compounds,H4.2,847.182,SK,CZ,,"R13,R4",Hungary
A2030,Y2,16 08 02 *; 16 08 07 *,spent catalysts containing hazardous transition metals or hazardous transition metal compounds; spent catalysts contaminated with hazardous substances,H4.2,43.291,AT,DE,,R8,Hungary
A2030,,16 08 07 *,spent catalysts contaminated with hazardous substances,"H6.1,H11,H12",39.58,AT,DE,,"R13,R4",Hungary
A2030,,16 08 07 *,spent catalysts contaminated with hazardous substances,"H4.2,H11,H12",61.011,AT,DE,,R4,Hungary
A2030,,16 08 07 *,spent catalysts contaminated with hazardous substances,"H6.1,H11,H12",75.22,"SK,CZ,DE,GB,BE,FR",US,,R4,Hungary
A1030,Y29,17 09 01 *,construction and demolition wastes containing mercury ,H6.1,31.38,"SK,CZ",DE,D12,,Hungary
A1030,Y29,20 01 21 *,fluorescent tubes and other mercurycontaining waste,H13,120.284,,RO,,R5,Hungary
A1180,,"16 02 14*,20 01 36*",Electrical and electronic equipment and mixed metals,,13.82,,NL,,"R4,R5",Iceland
A1180,,16 02 14*,Small electrical appliances,,639.07,DK,NL,,"R13,R4",Iceland
A1180,"Y19,Y22",20 01 35*,Plasma and LCD televisions and monitors containing CRT glass,,68.86,"DK,NL,DE,DK",SE,,R12,Iceland
A1180,"Y31,Y22,Y29",20 01 35*,TV sets and monitors,H11,10.39,"DK,NL",DE,,R5,Iceland
A4070,Y12,20 01 27*,Paint- and print-related materials,H3,127.51,"DK,GB,NL,DE,SE",DK,D10,,Iceland
A3150,,20 01 13*,"Solvents, may contain halogens",H3,93.8,"DK,GB,SE,DE",DK,D10,,Iceland
A1160,"Y31,Y34",16 06 01*,"Scrap batteries, Wet",H8,751.84,"NL,DE,DK,DK",SE,,R4,Iceland
,,10 03 04*,Aluminium skimmings,H4.3,249.96,NL,GB,,R4,Iceland
,Y32,10 03 21*,Carbon dust,"H11,H12",201.15,NL,GB,,"R4,R5",Iceland
A1180,,16 02 14*,Small electrical appliances,,90.0,,NL,,"R13,R4",Iceland
A1180,,"16 02 13*,20 01 35*",Small electrical appliances,H12,441.66,"DK,GB,NL,DE,DK",SE,D10,"R12,R1,R3,R4,R5",Iceland
,,20 03 01,Mixed municipal waste,H3,3078.0,GB,NL,,R1,Iceland
A1160,Y31,16 06 01*,"Scrap batteries, Wet","H8,H12",117.34,,GB,,R4,Iceland
A1160,"Y31,Y34",16 06 01*,"Scrap batteries, Wet",H8,104.54,,GB,,"R13,R4",Iceland
A4050,Y33,"16 11 01*,16 11 03*","Spent pot lining, spent pot lining insulation",H4.3,2471.4,NL,NO,D5,,Iceland
,Y18,10 03 04*,Aluminium skimmings,H4.3,458.44,NL,GB,,R4,Iceland
A3150,Y45,20 01 23*,"Used refridgerators, may include C.F.C",H12,329.38,"DK,NL,DE,SE",DK,,R12,Iceland
,,10 03 04*,Aluminium pot pads,"H11,H12",1347.74,NL,GB,,R4,Iceland
A2060,,19 01 13*,Fly-ash containing heavy metals,H13,1298.3,,NO,,R5,Iceland
A1180,Y29,16 02 13*,CRT / LCD tubes and displays,H12,65.94,"NL,DE",SE,,R12,Iceland
,,19 12 10,Combustible waste,H3,12427.0,"NL,DE",DK,,"R13,R1",Iceland
